City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-joseph,-21.3667,55.6167,297.86,82,44,0.63,RE,1699653015
1,palikir - national government center,6.9248,158.1611,298.56,89,100,0.0,FM,1699653015
2,ilulissat,69.2167,-51.1,267.16,53,100,8.75,GL,1699653016
3,jamestown,42.097,-79.2353,282.92,62,75,7.2,US,1699652728
4,ust-nera,64.5667,143.2,241.11,97,55,1.34,RU,1699653016
5,gizo,-8.103,156.8419,300.85,79,100,8.84,SB,1699653016
6,taldykorgan,45.0156,78.3739,277.73,81,6,2.02,KZ,1699653016
7,port mathurin,-19.6833,63.4167,297.95,79,9,4.91,MU,1699653016
8,port-aux-francais,-49.35,70.2167,280.06,96,100,14.67,TF,1699653017
9,kimbe,-5.5502,150.1429,301.31,71,80,2.87,PG,1699653017
10,kodiak,57.79,-152.4072,273.88,60,75,3.6,US,1699653017
11,iqaluit,63.7506,-68.5145,265.0,62,100,3.09,CA,1699653017
12,tual,-5.6667,132.75,300.87,78,63,4.18,ID,1699653018
13,gulf shores,30.246,-87.7008,298.36,75,75,3.6,US,1699653018
14,margaret river,-33.95,115.0667,284.54,86,8,5.45,AU,1699653018
15,yellowknife,62.456,-114.3525,276.24,97,75,3.6,CA,1699653019
16,ushuaia,-54.8,-68.3,284.96,54,0,2.57,AR,1699653019
17,adamstown,-25.066,-130.1015,295.95,80,1,5.69,PN,1699653019
18,ribeira grande,38.5167,-28.7,294.37,94,75,12.07,PT,1699653020
19,cavelossim,15.1726,73.9419,299.25,74,38,2.44,IN,1699653020
20,barro alto,-11.7608,-41.9117,299.68,37,13,3.51,BR,1699653020
21,ryotsu-minato,38.0833,138.4333,280.78,70,94,7.1,JP,1699653021
22,isafjordur,66.0755,-23.124,274.44,84,98,2.62,IS,1699653021
23,zmiyevka,52.6697,36.3739,277.07,87,99,4.37,RU,1699653021
24,oederan,50.8667,13.1667,277.74,84,24,4.72,DE,1699653022
25,nizhniy kuranakh,58.8353,125.4869,257.77,98,100,1.71,RU,1699653022
26,bilibino,68.0546,166.4372,245.19,100,96,1.11,RU,1699653022
27,ceres,37.5949,-120.9577,294.84,39,0,3.27,US,1699653022
28,grytviken,-54.2811,-36.5092,275.44,87,70,4.79,GS,1699653023
29,qaqortoq,60.7167,-46.0333,265.67,61,78,4.68,GL,1699653023
30,kourou,5.1552,-52.6478,300.33,81,14,4.52,GF,1699653023
31,lihue,21.9789,-159.3672,300.92,66,40,6.69,US,1699653023
32,olonkinbyen,70.9221,-8.7187,272.36,84,100,3.93,SJ,1699653024
33,brisas de zicatela,15.8369,-97.0419,304.44,48,40,3.09,MX,1699653024
34,puerto colombia,10.9878,-74.9547,304.2,78,100,4.19,CO,1699652837
35,queenstown,-31.8976,26.8753,290.98,52,39,1.2,ZA,1699653024
36,swift current,50.2834,-107.8014,275.6,75,0,6.17,CA,1699653025
37,puerto ayora,-0.7393,-90.3518,303.13,89,65,3.13,EC,1699652839
38,ta`u,-14.2336,-169.5144,300.49,82,16,2.77,AS,1699653025
39,port lincoln,-34.7333,135.8667,288.35,68,42,8.45,AU,1699653025
40,ormara,25.2088,64.6357,299.41,46,0,1.97,PK,1699653025
41,amungan,15.3652,119.9582,299.46,75,83,1.71,PH,1699653026
42,portland,45.5234,-122.6762,287.01,81,100,3.6,US,1699652862
43,bredasdorp,-34.5322,20.0403,291.17,76,85,2.23,ZA,1699653026
44,udachny,66.4167,112.4,265.07,72,78,3.14,RU,1699653026
45,katsuura,35.1333,140.3,288.16,73,86,7.73,JP,1699653026
46,longyearbyen,78.2186,15.6401,263.06,79,75,0.51,SJ,1699653027
47,college,64.8569,-147.8028,266.73,90,100,1.54,US,1699652790
48,talnakh,69.4865,88.3972,265.49,95,100,6.05,RU,1699653027
49,ponta delgada,37.7333,-25.6667,295.48,94,75,7.2,PT,1699653027
50,mount gambier,-37.8333,140.7667,287.61,62,86,4.68,AU,1699653028
51,menaka,15.9182,2.4022,301.42,11,51,3.35,ML,1699653028
52,polyarnyy,69.1989,33.4478,265.33,93,23,4.11,RU,1699653028
53,solnechnyy,50.7214,136.6319,265.94,90,100,1.75,RU,1699653029
54,puerto natales,-51.7236,-72.4875,280.94,85,100,3.16,CL,1699653029
55,puerto real,36.5282,-6.1901,291.24,82,75,1.03,ES,1699653029
56,atafu village,-8.5421,-172.5159,302.43,72,28,5.42,TK,1699653030
57,vilyuchinsk,52.9306,158.4028,273.3,98,100,0.7,RU,1699653030
